budget,genre,gross,name,rating,released,runtime,votes,winner
6000000,Drama,28607524,Hoosiers,PG,2/27/87,114,36604,1
0,Drama,300653,Sacrifice,PG,11/1/86,149,16571,0
6500000,Crime,2347000,At Close Range,R,4/18/86,111,11607,0
0,Drama,15448384,Youngblood,R,1/31/86,110,10412,0
0,Action,4662137,"No Retreat, No Surrender",PG,5/2/86,85,12803,0
0,Horror,14481606,Psicosis III,R,7/2/86,93,10022,0
20000000,Comedy,25314289,Heartburn,R,7/25/86,108,7570,0
15000000,Adventure,1953732,The Clan of the Cave Bear,R,1/17/86,98,5340,1
12000000,Action,17768900,The Delta Force,R,2/14/86,125,15819,0
0,Drama,8988731,Deadly Friend,R,10/10/86,91,5419,0
0,Comedy,38702310,About Last Night...,R,7/2/86,113,12307,0
0,Comedy,27820000,Soul Man,PG-13,10/24/86,104,6440,0
0,Comedy,13431806,One Crazy Summer,PG,8/8/86,93,11581,0
0,Comedy,6797218,Trick or Treat,R,10/24/86,98,4585,0
18000000,Comedy,36611610,Gung Ho,PG-13,3/14/86,112,9965,0
0,Crime,25147055,The Morning After,R,12/25/86,103,4943,1
0,Comedy,43579163,Police Academy 3: Back in Training,PG,3/21/86,83,35443,0
175000,Comedy,7137502,She's Gotta Have It,R,8/8/86,84,5257,0
0,Comedy,71624879,Ruthless People,R,6/27/86,93,22554,0
8700000,Action,4865912,Band of the Hand,R,4/11/86,109,2297,0
0,Crime,5186646,52 Pick-Up,R,11/7/86,110,3866,0
0,Drama,31853080,Children of a Lesser God,R,10/31/86,119,12538,2
12000000,Action,15945534,Armed and Dangerous,PG-13,8/15/86,88,9040,0
1100000,Comedy,1436000,Down by Law,R,10/30/86,107,39456,0
10000000,Action,20603715,F/X,R,2/7/86,109,14502,0
0,Adventure,13245219,The Adventures of Milo and Otis,G,8/25/89,90,9178,0
0,Comedy,8362969,Something Wild,R,11/7/86,114,13186,0
18000000,Sci-Fi,3900000,The Manhattan Project,PG-13,6/13/86,117,4666,0
5000000,Horror,12947763,April Fool's Day,R,3/28/86,89,11458,0
25000000,Action,1579260,Solarbabies,PG-13,11/26/86,94,3397,0
0,Comedy,17685307,The Big Easy,R,8/28/87,102,10022,0
0,Comedy,25587804,Jumpin' Jack Flash,R,10/10/86,105,15703,0
40000000,Adventure,1641825,Piratas,PG-13,7/18/86,121,6596,0
0,Animation,5274,When the Wind Blows,Not specified,3/11/88,80,7900,0
10000000,Comedy,21458229,Tough Guys,PG,10/3/86,104,5584,0
0,Drama,206952,Matador,NC-17,3/7/86,110,8959,0
0,Action,6637565,Black Moon Rising,R,1/10/86,100,4045,0
12000000,Comedy,7790931,The Best of Times,PG-13,1/31/86,104,5523,0
2000000,Horror,7369373,Witchboard,R,3/13/87,98,4744,0
14000000,Comedy,62134225,Down and Out in Beverly Hills,R,1/31/86,103,13569,0
8500000,Biography,277646,Lady Jane,PG-13,2/7/86,136,5364,0
0,Crime,7634909,Quicksilver,PG,2/14/86,105,3720,0
0,Animation,5958456,My Little Pony: The Movie,G,6/6/86,86,2125,0
0,Horror,916172,Gothic,R,4/10/87,87,5843,0
18000000,Action,1305114,8 Million Ways to Die,R,4/25/86,115,3607,0
0,Crime,12303904,No Mercy,R,12/19/86,106,5564,0
0,Comedy,8033397,Haunted Honeymoon,PG,7/25/86,82,5549,0
0,Comedy,320256,TerrorVision,R,2/14/86,83,4620,0
0,Action,3751699,Allan Quatermain and the Lost City of Gold,PG,1/30/87,99,7491,0
0,Crime,5794184,Mona Lisa,R,6/13/86,104,10747,1
0,Comedy,32324557,Nothing in Common,PG,7/30/86,118,5345,0
8000000,Action,11834302,Firewalker,PG,11/21/86,104,4752,0
0,Adventure,483460,Castaway,R,9/11/87,117,2649,0
3300000,Comedy,4941117,Vamp,R,7/18/86,93,3909,0
0,Biography,3151,Caravaggio,Not specified,8/29/86,93,4072,0
0,Crime,21483,Mauvais Sang,UNRATED,11/26/86,116,4922,0
0,Drama,4636169,Fire with Fire,PG-13,5/9/86,103,1264,0
15000000,Comedy,12308521,Club Paradise,PG-13,7/11/86,96,5049,0
40000000,Comedy,49851591,Legal Eagles,PG,6/20/86,116,8374,0
0,Comedy,1476356,Clockwise,PG,10/10/86,96,9689,0
0,Drama,13418091,Extremities,R,8/22/86,89,2705,0
13000000,Comedy,8475466,Wise Guys,R,4/18/86,100,4573,0
0,Drama,2444076,The Men's Club,R,9/19/86,101,680,0
0,Drama,4940939,Jean de Florette,PG,8/28/87,120,20914,0
0,Drama,2510433,Reform School Girls,R,8/22/86,94,1717,0
0,Drama,3940542,Manon of the Spring,PG,12/4/87,113,17849,0
17000000,Adventure,2315683,Shanghai Surprise,PG-13,8/29/86,97,4339,0
16000000,Drama,3800000,Power,R,1/31/86,111,2287,0
0,Comedy,604849,Modern Girls,PG-13,11/7/86,84,1023,0
20000000,Comedy,22905500,Crimes of the Heart,PG-13,1/23/87,105,3079,1
0,Horror,2278264,Nomads,R,3/7/86,91,3006,0
0,Action,4601256,Eliminators,PG,1/31/86,96,1422,0
0,Comedy,2147228,Meatballs III: Summer Job,R,1/9/87,96,2003,0
6000000,Action,9947631,Murphy's Law,R,4/18/86,100,3561,0
0,Musical,2545142,True Stories,PG,10/10/86,90,3885,0
0,Comedy,10090429,Under the Cherry Moon,PG-13,7/2/86,98,2549,0
0,Drama,278623,Every Time We Say Goodbye,PG-13,11/14/86,95,1834,0
0,Drama,930211,Absolute Beginners,PG-13,4/18/86,108,2659,0
0,Drama,3272600,Round Midnight,R,10/3/86,133,4028,2
4000000,Action,4679650,Avenging Force,R,9/12/86,104,1808,0
0,Action,2995527,Bullies,R,8/29/86,96,340,0
0,Adventure,112132,Biggles: Adventures in Time,PG,1/29/88,88,2243,0
0,Drama,4845724,American Anthem,PG-13,6/27/86,102,1284,0
0,Action,5099316,Out of Bounds,R,7/25/86,93,1016,0
0,Comedy,4781448,My Chauffeur,R,1/24/86,97,1426,0
18000000,Comedy,11957943,Brighton Beach Memoirs,PG-13,12/25/86,108,2720,0
0,Drama,37455,Summer,R,8/29/86,98,4612,0
0,Drama,3136701,The Naked Cage,R,3/7/86,97,327,0
0,Horror,1720450,Link,R,9/19/86,100,2080,0
0,Thriller,1131399,Half Moon Street,R,9/26/86,90,2157,0
0,Drama,441863,"night, Mother",PG-13,1/29/87,96,1840,0
0,Action,6029824,A Fine Mess,PG,8/8/86,90,1164,0
0,Comedy,78068,Hardbodies 2,R,9/12/86,88,895,0
0,Drama,203781,The Assault,PG,2/6/86,155,2694,2
0,Comedy,277405,Willy/Milly,PG-13,11/14/86,86,323,0
0,Drama,239073,The Ladies Club,R,4/1/86,85,154,0
0,Action,140980,Let's Get Harry,R,10/31/86,102,978,0
25000000,Adventure,4007250,Tai-Pan,R,11/7/86,127,1340,0
0,Comedy,2750741,Deadtime Stories,R,11/28/86,93,973,0
17000000,Action,2793214,Heat,R,3/13/87,101,1358,0
0,Comedy,1254040,Touch and Go,R,8/22/86,101,684,0
0,Biography,275000,The Boy in Blue,R,1/17/86,100,907,0
0,Comedy,14205021,Sweet Liberty,PG,5/16/86,106,2300,0
0,Comedy,681337,Killer Party,R,5/9/86,91,1265,0
0,Drama,537681,Parting Glances,Not specified,2/19/86,90,2330,0
0,Animation,8540346,Care Bears Movie II: A New Generation,G,3/21/86,76,1760,0
14000000,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,5/2/86,97,1288,0
0,Action,1943751,Jake Speed,PG,5/30/86,100,632,0
3401376,Action,3388020,Born American,R,8/29/86,97,1509,0
10000000,Action,6947787,Blue City,R,5/2/86,83,792,0
0,Comedy,544472,Malcolm,PG-13,11/5/86,90,1623,0
0,Comedy,2669366,Playing for Keeps,PG-13,10/3/86,102,515,0
0,Drama,8736,Duet for One,R,2/1/87,107,699,0
0,Comedy,563358,Nobody's Fool,PG-13,11/7/86,107,652,1
0,Comedy,444746,The Whoopee Boys,R,8/22/86,88,639,0
0,Comedy,4079895,That's Life!,PG-13,10/10/86,102,1032,0
0,Comedy,14926,Body Slam,PG,5/21/87,89,795,0
0,Thriller,750000,Defense of the Realm,PG,11/21/86,96,1625,0
0,Drama,725000,Man Facing Southeast,R,3/13/87,105,2991,0
0,Comedy,1902706,The Decline of the American Empire,R,11/14/86,101,6622,1
0,Drama,4743287,Violets Are Blue...,PG-13,4/25/86,88,553,0
0,Thriller,1500000,The Whistle Blower,PG,7/10/87,100,1672,0
2000000,Drama,1301121,Native Son,PG,12/12/86,111,448,0
0,Drama,416393,Desert Bloom,PG,4/18/86,105,821,0
0,Drama,1777378,Working Girls,UNRATED,3/20/87,93,604,0
0,Comedy,925952,MÈnage,Not specified,10/1/86,84,2022,0
0,Biography,583800,Oviri,R,9/5/86,100,275,0
0,Action,181410,In the Shadow of Kilimanjaro,R,5/9/86,100,310,0
0,Drama,432266,Kangaroo,R,3/13/87,108,156,0
0,Action,2390525,Dangerously Close,R,5/9/86,95,935,0
0,Family,781727,Nutcracker,G,11/26/86,100,578,0
0,Comedy,837623,Ginger and Fred,PG-13,3/28/86,125,3859,0
0,Crime,502237,Dream Lover,R,4/2/86,104,405,0
0,Drama,6408791,Just Between Friends,PG-13,3/21/86,110,629,0
0,Action,145975,Thunder Run,PG-13,5/30/86,90,218,0
0,Comedy,1096843,The Longshot,PG-13,1/17/86,89,457,0
0,Comedy,4842778,Off Beat,PG,4/11/86,92,748,0
0,Drama,2520664,Streets of Gold,R,11/14/86,95,505,0
0,Action,351623,Weekend Warriors,R,10/1/86,100,237,0
18000000,Action,2295500,Sky Bandits,PG,10/31/86,100,183,0
1500000,Action,1368912,Armed Response,R,10/3/86,86,489,0
0,Drama,189042,Otello,PG,9/12/86,100,424,1
0,Drama,440438,On the Edge,PG-13,5/2/86,95,171,0
0,Action,63860,Low Blow,R,4/1/86,100,256,0
0,Drama,1444618,Belizaire the Cajun,PG,6/13/86,103,391,0
0,Drama,227510,A Man and a Woman: 20 Years Later,PG,8/15/86,112,496,0
0,Action,1900000,Quiet Cool,R,11/7/86,100,542,0
0,Action,2497233,Behind Enemy Lines,R,4/4/86,90,368,0
0,Action,193153,Wired to Kill,R,11/14/86,86,163,0
0,Drama,149440,The Fringe Dwellers,PG,10/1/86,98,305,0
0,Crime,164187,Scene of the Crime,Not specified,5/1/87,90,565,0
0,Animation,1338264,GoBots: Battle of the Rock Lords,G,3/21/86,75,397,0
0,Comedy,267249,The Gospel According to Vic,PG,3/13/87,92,227,0
0,Action,601451,Knights of the City,R,2/14/86,87,103,0
0,Comedy,18209,Saving Grace,PG,11/13/86,112,467,0
0,Action,492367,Jackals,R,9/19/86,97,139,0
0,Comedy,22123,Detective School Dropouts,PG,8/8/86,92,220,0
0,Adventure,676166,Where the River Runs Black,PG,9/19/86,100,351,0
0,Family,2193642,Heathcliff: The Movie,G,1/17/86,73,187,0
0,Comedy,32279,One More Saturday Night,R,8/22/86,95,211,0
16000000,Adventure,30857814,The Princess Bride,PG,10/9/87,98,320953,1
1000000,Horror,14564027,Hellraiser,R,9/18/87,94,83209,0
30000000,Drama,46357676,Full Metal Jacket,R,7/10/87,116,537826,1
6000000,Drama,63952836,Dirty Dancing,PG-13,8/21/87,100,155978,2
0,Comedy,32222567,The Lost Boys,R,7/31/87,97,100376,0
15000000,Action,59735548,Predator,R,6/12/87,107,313213,1
27000000,Action,38122105,The Running Man,R,11/13/87,101,120345,0
22700000,Adventure,38119483,Spaceballs,PG,6/24/87,96,146748,0
13000000,Action,53424681,RoboCop,R,7/17/87,102,196245,2
15000000,Action,65207127,Lethal Weapon,R,3/6/87,110,204328,1
25000000,Crime,76270454,The Untouchables,R,6/3/87,119,234254,2
3600000,Comedy,5923044,Evil Dead II,R,3/13/87,84,123325,0
22000000,Action,17336370,Masters of the Universe,PG,8/7/87,106,30370,0
12000000,Action,3769990,The Monster Squad,PG-13,8/14/87,82,21420,0
14000000,Drama,156645693,Fatal Attraction,R,9/18/87,119,60383,1
30000000,Action,51185897,The Living Daylights,PG,7/31/87,130,74272,0
15000000,Crime,43848100,Wall Street,R,12/11/87,126,126195,2
35000000,Drama,22238696,Empire of the Sun,PG,12/25/87,153,96566,1
0,Comedy,31623833,Can't Buy Me Love,PG-13,8/14/87,94,26348,0
22000000,Comedy,63766510,The Witches of Eastwick,R,6/12/87,118,51642,1
0,Comedy,35658098,Summer School,PG-13,7/22/87,97,14038,0
4500000,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,R,2/27/87,96,55414,0
0,Action,34368475,Adventures in Babysitting,PG-13,7/3/87,102,30850,0
0,Action,13839404,Hamburger Hill,R,8/28/87,110,20159,0
23000000,Adventure,20763013,Jaws: The Revenge,PG-13,7/17/87,89,33419,0
25000000,Action,16057580,Over the Top,PG,2/13/87,93,40916,0
30000000,Comedy,49530280,"Planes, Trains & Automobiles",R,11/25/87,93,98897,0
6000000,Comedy,22847564,Raising Arizona,PG-13,4/17/87,94,107669,0
17000000,Horror,17185632,Angel Heart,R,3/6/87,113,67453,0
0,Drama,18553948,Some Kind of Wonderful,PG-13,2/27/87,95,21931,0
6000000,Comedy,42721196,Mannequin,PG,2/13/87,90,24626,1
0,Comedy,26713187,Overboard,PG,12/16/87,106,40429,0
27000000,Action,25893810,Innerspace,PG,7/1/87,120,45172,2
15000000,Comedy,80640528,Moonstruck,PG,1/15/88,102,38600,2
28000000,Action,153665000,Beverly Hills Cop II,R,5/20/87,100,90969,1
0,Comedy,29760613,Harry and the Hendersons,PG,6/5/87,110,26157,2
23000000,Biography,43984230,The Last Emperor,PG-13,4/15/88,163,76408,2
13000000,Biography,123922370,"Good Morning, Vietnam",R,1/15/88,121,106924,1
2600000,Drama,3130592,Maurice,R,9/18/87,140,11837,1
11000000,Comedy,167780960,3 Men and a Baby,PG,11/25/87,102,39544,0
3000000,Horror,14182492,Prince of Darkness,R,10/23/87,102,28064,0
6500000,Biography,54215416,La Bamba,PG-13,7/24/87,108,22839,0
5000000,Action,3369307,Near Dark,R,1/1/88,94,27485,0
0,Drama,3210139,Wings of Desire,PG-13,5/6/88,128,51522,0
0,Crime,12396383,Less Than Zero,R,11/6/87,98,15500,0
15000000,Action,35509515,No Way Out,R,8/14/87,114,28684,1
0,Comedy,32945797,*batteries not included,PG,12/18/87,106,25330,0
0,Comedy,26712476,Baby Boom,PG,10/30/87,110,11414,0
0,Comedy,1544889,Withnail & I,R,6/19/87,107,33285,0
0,Drama,15151736,Flowers in the Attic,PG-13,11/20/87,93,7993,0
20000000,Comedy,51249404,Broadcast News,R,12/25/87,133,22802,1
2500000,Fantasy,13539458,T˙nel al infierno,PG-13,5/15/87,85,11435,0
17000000,Action,15681020,Superman IV: The Quest for Peace,PG,7/24/87,90,35866,0
3500000,Comedy,14000000,Creepshow 2,R,5/1/87,92,17500,0
3000000,Comedy,7888703,Teen Wolf Too,PG,11/20/87,95,8905,0
12000000,Comedy,40050884,Roxanne,PG,6/19/87,107,34794,0
12000000,Comedy,66995879,The Secret of My Succe$s,PG-13,4/10/87,111,24685,0
20000000,Comedy,57387516,Dragnet,PG-13,6/26/87,106,27387,0
0,Comedy,124167,"Rita, Sue and Bob Too",R,5/29/87,93,2747,0
18000000,Comedy,39321715,Blind Date,PG-13,3/27/87,95,17903,0
0,Comedy,7800000,House II: The Second Story,PG-13,8/28/87,88,8302,0
0,Comedy,28061343,Police Academy 4: Citizens on Patrol,PG,4/3/87,88,33955,0
1000000,Adventure,1576615,The Garbage Pail Kids Movie,PG,8/22/87,100,6348,0
14000000,Comedy,57915972,Throw Momma from the Train,PG-13,12/11/87,88,28550,1
0,Horror,2488740,The Stepfather,R,6/5/87,89,9959,0
0,Action,9747988,The Hidden,R,10/30/87,96,13878,0
0,Comedy,548696,Amazon Women on the Moon,R,9/18/87,85,8755,0
3000000,Comedy,3221568,Barfly,R,10/16/87,100,15647,0
6000000,Comedy,3685862,Three O'Clock High,PG-13,10/9/87,97,8970,0
0,Comedy,4398938,Babette's Feast,G,3/4/88,102,14838,2
0,Crime,18753438,The Believers,R,6/10/87,114,4900,0
15000000,Comedy,13290368,The Pick-up Artist,PG-13,9/18/87,81,5348,0
16000000,Comedy,14792779,Radio Days,PG,1/30/87,88,26467,1
0,Comedy,1028679,Aria,R,10/30/87,90,2243,0
3000000,Comedy,23509382,Ernest Goes to Camp,PG,5/22/87,92,9526,0
0,Drama,4542825,Au Revoir les Enfants,PG,2/12/88,104,25969,0
17000000,Crime,10278549,Someone to Watch Over Me,R,10/9/87,106,7854,0
0,Comedy,7305209,Who's That Girl,PG,8/7/87,92,8125,0
29000000,Biography,5899797,Cry Freedom,PG,11/6/87,157,10692,1
6000000,Thriller,12423831,The Fourth Protocol,R,8/28/87,119,7532,0
27000000,Drama,7393346,Ironweed,R,2/12/88,143,6874,1
0,Crime,25205460,Black Widow,R,2/6/87,102,7132,0
0,Action,65673233,Stakeout,R,8/5/87,117,20039,0
0,Comedy,34377585,Like Father Like Son,PG-13,10/2/87,96,4817,0
0,Comedy,3587303,Bagdad Cafe,PG,4/22/88,95,10255,1
0,Drama,769119,Shy People,R,3/11/88,100,940,0
0,Comedy,30063289,Revenge of the Nerds II: Nerds in Paradise,PG-13,7/10/87,88,11444,0
0,Horror,2683519,Prom Night II,R,11/13/87,97,3440,0
5000000,Action,6880310,Death Wish 4: The Crackdown,R,11/6/87,99,6770,0
18000000,Comedy,18532286,Project X,PG,4/17/87,108,8879,0
0,Action,3832228,North Shore,PG,8/14/87,96,1903,0
0,Action,519596,Man on Fire,R,9/4/87,87,1340,0
4000000,Fantasy,800000,The Barbarians,R,3/20/87,87,2538,0
55000000,Action,14375181,Ishtar,PG-13,5/15/87,107,9094,0
100000,Comedy,5228617,Hollywood Shuffle,R,3/20/87,78,3009,0
0,Comedy,1749956,Hunk,PG,3/6/87,102,1042,0
0,Crime,2585639,House of Games,R,10/14/87,102,17508,0
0,Crime,2877571,No Man's Land,R,10/23/87,100,3297,2
0,Sci-Fi,1930001,The Curse,R,9/11/87,92,1762,0
0,Crime,18782400,Suspect,R,10/23/87,121,7506,0
0,Action,19734940,The Principal,R,9/18/87,109,7311,0
0,Comedy,10021120,Hope and Glory,PG-13,2/19/88,113,10291,1
0,Comedy,52864741,Outrageous Fortune,R,1/30/87,99,6123,0
22000000,Action,11307844,Extreme Prejudice,R,4/24/87,96,4924,0
350000,Action,4000000,American Ninja 2: The Confrontation,R,5/1/87,90,6565,0
4000000,Drama,1680358,Matewan,PG-13,6/30/88,135,6198,1
0,Drama,1539000,Three for the Road,PG,5/5/88,88,813,0
24000000,Action,4916871,Leonard Part 6,PG,12/18/87,85,7387,0
5000000,Crime,1119112,Street Smart,R,3/20/87,97,2096,1
0,Biography,1654743,Prick Up Your Ears,R,5/8/87,105,4799,0
9000000,Action,5406879,The Sicilian,R,10/23/87,115,3889,0
0,Comedy,17355263,Born in East L.A.,R,8/21/87,85,4648,0
0,Drama,10489617,Light of Day,PG-13,2/6/87,107,2101,0
0,Drama,2053931,Pelle the Conqueror,PG-13,12/21/88,157,8321,2
0,Comedy,1189709,Return to Horror High,R,2/20/87,95,2337,0
0,Comedy,13110903,Back to the Beach,PG,8/7/87,92,2332,0
0,Horror,1149470,Nightflyers,R,4/7/88,89,796,0
0,Action,12046526,Fatal Beauty,R,10/30/87,104,2652,0
0,Adventure,300859,White Water Summer,PG,7/10/87,90,4353,0
0,Drama,1338198,The Whales of August,NOT RATED,8/19/87,90,3416,1
7000000,Comedy,7019441,Hiding Out,PG-13,11/6/87,98,2584,0
0,Comedy,174380,My Best Friend Is a Vampire,PG,5/6/88,89,2690,0
10000000,Action,3060858,Malone,R,5/1/87,92,1959,0
0,Comedy,4215859,Hot Pursuit,PG-13,5/8/87,93,2768,0
0,Action,873903,Real Men,PG-13,9/25/87,85,3077,0
6000000,Action,1432687,A Prayer for the Dying,R,9/11/87,107,3731,0
0,Drama,5262047,Gardens of Stone,R,5/8/87,111,4273,0
0,Action,7555000,Wanted: Dead or Alive,R,1/16/87,106,3328,0
0,Animation,6804312,The Chipmunk Adventure,G,5/22/87,100,4383,0
0,Horror,2407024,The Kindred,R,5/29/87,91,1211,0
0,Comedy,4572845,Made in Heaven,PG,11/6/87,100,2691,0
0,Crime,5715174,Wisdom,R,1/2/87,109,2659,0
5300000,Crime,3107551,White Mischief,R,5/6/88,107,2171,0
10000000,Drama,486434,September,PG,12/18/87,83,7620,0
0,Drama,4370078,The Dead,PG,12/18/87,83,5933,1
3520000,Action,562187,Steel Dawn,R,3/31/88,100,3860,0
1300000,Crime,354704,Prison,R,12/8/87,102,3019,0
25000000,Drama,30950002,Nuts,R,12/11/87,116,4996,0
11000000,Comedy,25411386,Tin Men,R,3/13/87,112,6960,0
0,Drama,760000,The Hanoi Hilton,R,5/23/87,125,763,0
7500000,Drama,796368,Rampage,R,10/30/92,97,1625,0
0,Drama,1733017,The Big Town,R,9/25/87,109,1483,0
0,Comedy,3283832,Wish You Were Here,R,7/24/87,88,2212,0
0,Comedy,2700000,The Allnighter,PG-13,5/1/87,108,904,0
0,Drama,287725,The Belly of an Architect,R,10/16/87,119,4517,0
0,Action,4278150,Best Seller,R,9/25/87,95,3752,0
0,Drama,700000,Siesta,R,11/11/87,100,1844,0
0,Drama,316199,Promised Land,R,1/22/88,102,1052,0
0,Crime,12640385,The Bedroom Window,R,1/16/87,112,3650,0
0,Comedy,2201428,Dark Eyes,Not specified,11/6/87,117,2421,1
3000000,Fantasy,9868521,Maid to Order,PG,7/31/87,93,2786,0
0,Drama,225358,Square Dance,PG-13,1/9/88,112,730,0
1000000,Action,210200,Straight to Hell,R,6/26/87,100,1924,0
0,Comedy,16337355,Burglar,R,3/20/87,103,3453,0
0,Comedy,999382,In the Mood,PG-13,9/16/87,98,778,0
0,Biography,1083486,84 Charing Cross Road,PG,2/13/87,100,6285,0
100000,Horror,154323,"Silent Night, Deadly Night 2",R,4/10/87,88,4329,0
0,Crime,969205,Five Corners,R,5/1/88,90,2584,0
8000000,Comedy,1988962,Date with an Angel,PG,11/20/87,105,2163,0
5800000,Biography,257043,Walker,R,12/4/87,94,2684,0
0,Adventure,626724,Deadly Illusion,R,10/16/87,87,233,0
0,Mystery,406881,Slam Dance,R,10/2/87,92,1129,0
19000000,Action,2228951,The Squeeze,PG-13,7/10/87,101,770,0
0,Comedy,1744164,Personal Services,R,5/15/87,105,1031,0
5000000,Action,6075793,Assassination,PG-13,1/9/87,88,2255,0
75000,Horror,13133,Creepozoids,R,10/2/87,72,1447,0
0,Crime,1262091,China Girl,R,9/25/87,90,1214,0
12000000,Comedy,5669831,Nadine,PG,8/7/87,83,3267,0
0,Drama,2413427,Dead of Winter,R,2/6/87,100,2694,0
0,Adventure,108154,"No Retreat, No Surrender 2",R,1/27/89,104,1209,0
0,Drama,895904,The Glass Menagerie,PG,1/15/88,134,1699,0
0,Horror,228789,Anguish,R,1/8/88,86,2611,0
0,Drama,443524,A Month in the Country,PG,12/4/87,96,1038,0
1100000,Action,1355728,From a Whisper to a Scream,R,9/4/87,99,1489,0
0,Comedy,20419446,Hello Again,PG,11/6/87,96,2493,0
0,Drama,1025228,Little Dorrit,G,10/21/88,357,886,1
0,Comedy,460608,Walk Like a Man,PG,4/17/87,86,1174,0
5000000,Comedy,858250,Tough Guys Don't Dance,R,9/18/87,110,1025,0
0,Comedy,10348437,Disorderlies,PG,8/14/87,86,1708,0
